CustomerID,Recency,EngagementDays,Frequency,Monetary,UniqueProducts,TotalQuantity,Country,AvgBasketSize,AvgSpendPerTxn,ChurnLabel
12346,325,1,1,77183.6,1,74215,United Kingdom,74215.0,77183.6,1
12347,1,366,7,4310.0,103,2458,Iceland,351.14285714285717,615.7142857142857,0
12348,74,283,4,1797.24,22,2341,Finland,585.25,449.31,1
12349,18,1,1,1757.55,73,631,Italy,631.0,1757.55,0
12350,309,1,1,334.4,17,197,Norway,197.0,334.4,1
12352,35,261,8,2506.04,59,536,Norway,67.0,313.255,1
12353,203,1,1,89.0,4,20,Bahrain,20.0,89.0,1
12354,231,1,1,1079.4,58,530,Spain,530.0,1079.4,1
12355,213,1,1,459.4,13,240,Bahrain,240.0,459.4,1
12356,22,303,3,2811.43,53,1591,Portugal,530.3333333333334,937.1433333333333,0
12357,32,1,1,6207.67,131,2708,Switzerland,2708.0,6207.67,1
12358,1,150,2,1168.06,13,248,Austria,124.0,584.03,0
12359,57,275,4,6310.03,214,1609,Cyprus,402.25,1577.5075,1
12360,51,149,3,2662.06,105,1165,Austria,388.3333333333333,887.3533333333334,1
12361,286,1,1,189.9,10,91,Belgium,91.0,189.9,1
12362,2,293,10,5226.23,201,2229,Belgium,222.9,522.6229999999999,0
12363,109,133,2,552.0,23,408,Unspecified,204.0,276.0,1
12364,7,105,4,1313.1,70,1506,Belgium,376.5,328.275,0
12365,290,1,2,641.38,22,174,Cyprus,87.0,320.69,1
12367,3,1,1,168.9,11,173,Denmark,173.0,168.9,0
12370,50,310,4,3541.94,143,2352,Cyprus,588.0,885.485,1
12371,44,15,2,1887.96,63,591,Switzerland,295.5,943.98,1
12372,71,225,3,1298.04,34,794,Denmark,264.6666666666667,432.68,1
12373,310,1,1,364.6,14,197,Austria,197.0,364.6,1
12374,24,1,1,742.9300000000001,33,342,Austria,342.0,742.9300000000001,0
12375,10,88,2,457.5,14,178,Finland,89.0,228.75,0
12377,314,40,2,1628.12,72,944,Switzerland,472.0,814.06,1
12378,129,1,1,4008.62,219,2529,Switzerland,2529.0,4008.62,1
12379,81,89,2,852.24,39,407,Belgium,203.5,426.12,1
12380,21,165,4,2724.81,77,1127,Belgium,281.75,681.2025,0
12381,4,116,5,1845.31,70,808,Norway,161.6,369.062,0
12383,184,168,5,1850.56,84,1532,Belgium,306.4,370.11199999999997,1
12384,28,93,2,585.27,26,126,Switzerland,63.0,292.635,0
12386,337,30,2,401.9,10,354,Australia,177.0,200.95,1
12388,15,312,6,2780.66,57,1462,Australia,243.66666666666666,463.4433333333333,0
12390,79,1,1,549.84,32,353,Belgium,353.0,549.84,1
12391,21,1,1,439.66,92,293,Cyprus,293.0,439.66,0
12393,71,261,4,1582.6000000000001,47,816,Australia,204.0,395.65000000000003,1
12394,63,154,2,1272.48,26,819,Belgium,409.5,636.24,1
12395,18,352,12,3018.63,91,2118,Belgium,176.5,251.5525,0
12397,35,100,2,2409.9,110,1263,Belgium,631.5,1204.95,1
12398,45,1,1,1635.6599999999999,85,1394,Switzerland,1394.0,1635.6599999999999,1
12399,118,143,4,1108.65,47,1178,Belgium,294.5,277.1625,1
12401,302,1,1,84.3,5,11,Belgium,11.0,84.3,1
12402,322,1,1,225.6,11,94,Belgium,94.0,225.6,1
12403,49,1,1,427.7,5,96,Denmark,96.0,427.7,1
12405,148,1,1,1710.39,54,857,Finland,857.0,1710.39,1
12406,21,162,2,3415.3,92,1818,Denmark,909.0,1707.65,0
12407,49,215,5,1708.1200000000001,57,1416,Belgium,283.2,341.624,1
12408,32,228,5,2888.55,81,1409,Belgium,281.8,577.71,1
12409,78,104,3,11072.67,91,5551,Switzerland,1850.3333333333333,3690.89,1
12410,308,1,2,693.3299999999999,26,211,Switzerland,105.5,346.66499999999996,1
12412,74,95,3,1226.88,43,829,Denmark,276.3333333333333,408.96000000000004,1
12413,66,271,3,758.1,29,286,France,95.33333333333333,252.70000000000002,1
12414,216,94,3,562.41,16,300,Austria,100.0,187.47,1
12415,23,314,21,124914.53,444,77374,Australia,3684.4761904761904,5948.310952380953,0
12417,2,355,9,3649.1,158,1552,Belgium,172.44444444444446,405.4555555555555,0
12418,112,1,1,668.58,34,407,Switzerland,407.0,668.58,1
12420,63,1,1,600.39,29,345,Cyprus,345.0,600.39,1
12421,15,304,4,807.04,32,484,Spain,121.0,201.76,0
12422,95,230,3,803.5600000000001,39,370,Australia,123.33333333333333,267.85333333333335,1
12423,0,353,8,1859.31,97,1339,Belgium,167.375,232.41375,0
12424,162,1,2,1760.96,30,740,Australia,370.0,880.48,1
12425,77,1,1,777.2,36,496,Portugal,496.0,777.2,1
12426,194,1,1,582.73,30,258,Germany,258.0,582.73,1
12427,21,350,3,825.8,26,533,Germany,177.66666666666666,275.26666666666665,0
12428,25,258,9,7956.46,258,3536,Finland,392.8888888888889,884.0511111111111,0
12429,8,357,4,3750.4,82,1557,Denmark,389.25,937.6,0
12430,42,1,1,256.4,11,117,Norway,117.0,256.4,1
12431,35,339,15,6419.95,163,2896,Australia,193.06666666666666,427.99666666666667,1
12432,42,130,5,5059.32,107,1801,Norway,360.2,1011.8639999999999,1
12433,0,373,7,13375.87,219,11071,Norway,1581.5714285714287,1910.8385714285716,0
12434,84,176,2,806.14,46,394,Australia,197.0,403.07,1
12435,79,189,2,7829.89,31,2055,Denmark,1027.5,3914.945,1
12436,99,1,1,509.01,16,211,Norway,211.0,509.01,1
12437,1,330,18,4951.41,118,2922,France,162.33333333333334,275.0783333333333,0
12438,13,126,2,2906.85,84,1180,Norway,590.0,1453.425,0
12441,366,1,1,173.55,11,121,France,121.0,173.55,1
12442,2,1,1,172.06,12,182,Spain,182.0,172.06,0
12444,20,150,5,5005.46,138,1153,Norway,230.6,1001.092,0
12445,21,1,1,133.4,4,62,Spain,62.0,133.4,0
12446,57,1,1,1002.3100000000001,57,351,RSA,351.0,1002.3100000000001,1
12447,242,1,1,476.49,26,190,Belgium,190.0,476.49,1
12448,43,1,1,449.45,22,243,Spain,243.0,449.45,1
12449,21,165,4,4067.29,118,1553,Belgium,388.25,1016.8225,0
12450,155,18,2,197.88,7,128,Spain,64.0,98.94,1
12451,10,314,5,9035.52,265,6575,Switzerland,1315.0,1807.104,0
12452,16,1,2,430.57,21,185,Switzerland,92.5,215.285,0
12453,133,1,1,707.09,43,473,Austria,473.0,707.09,1
