CustomerID,NumTransactions,TotalSpent,UniqueProducts
12346,1,77183.6,1
12347,7,4310.0,103
12348,4,1797.24,22
12349,1,1757.55,73
12350,1,334.4,17
12352,8,2506.04,59
12353,1,89.0,4
12354,1,1079.4,58
12355,1,459.4,13
12356,3,2811.43,53
12357,1,6207.67,131
12358,2,1168.06,13
12359,4,6310.03,214
12360,3,2662.06,105
12361,1,189.9,10
12362,10,5226.23,201
12363,2,552.0,23
12364,4,1313.1,70
12365,2,641.38,22
12367,1,168.9,11
12370,4,3541.94,143
12371,2,1887.96,63
12372,3,1298.04,34
12373,1,364.6,14
12374,1,742.9300000000001,33
12375,2,457.5,14
12377,2,1628.12,72
12378,1,4008.62,219
12379,2,852.24,39
12380,4,2724.81,77
12381,5,1845.31,70
12383,5,1850.56,84
12384,2,585.27,26
12386,2,401.9,10
12388,6,2780.66,57
12390,1,549.84,32
12391,1,439.66,92
12393,4,1582.6000000000001,47
12394,2,1272.48,26
12395,12,3018.63,91
12397,2,2409.9,110
12398,1,1635.6599999999999,85
12399,4,1108.65,47
12401,1,84.3,5
12402,1,225.6,11
12403,1,427.7,5
12405,1,1710.39,54
12406,2,3415.3,92
12407,5,1708.1200000000001,57
12408,5,2888.55,81
12409,3,11072.67,91
12410,2,693.3299999999999,26
12412,3,1226.88,43
12413,3,758.1,29
12414,3,562.41,16
12415,21,124914.53,444
12417,9,3649.1,158
12418,1,668.58,34
12420,1,600.39,29
12421,4,807.04,32
12422,3,803.5600000000001,39
12423,8,1859.31,97
12424,2,1760.96,30
12425,1,777.2,36
12426,1,582.73,30
12427,3,825.8,26
12428,9,7956.46,258
12429,4,3750.4,82
12430,1,256.4,11
12431,15,6419.95,163
12432,5,5059.32,107
12433,7,13375.87,219
12434,2,806.14,46
12435,2,7829.89,31
12436,1,509.01,16
12437,18,4951.41,118
12438,2,2906.85,84
12441,1,173.55,11
12442,1,172.06,12
12444,5,5005.46,138
12445,1,133.4,4
12446,1,1002.3100000000001,57
12447,1,476.49,26
12448,1,449.45,22
12449,4,4067.29,118
12450,2,197.88,7
12451,5,9035.52,265
12452,2,430.57,21
12453,1,707.09,43
12454,1,3528.34,15
12455,6,2466.86,85
12456,3,3181.04,105
12457,7,2363.23,53
12458,2,947.4,35
12461,2,826.88,35
12462,2,1189.59,51
12463,4,1344.78,65
12464,8,1212.05,6
12465,2,742.1899999999999,46
12468,2,729.5400000000001,36
12471,30,19788.65,150
12472,7,6572.11,219
12473,5,3928.0499999999997,140
12474,18,7324.09,253
12475,1,723.38,36
12476,11,6816.42,177
12477,6,13219.74,191
12478,1,680.99,36
12479,1,527.2,31
12480,4,3281.63,129
12481,10,5579.82,150
12483,8,2484.98,46
12484,6,4527.32,256
12488,3,1298.66,46
12489,1,334.93,15
12490,10,5417.93,131
12491,1,460.40000000000003,25
12492,2,263.21000000000004,19
12493,2,433.74,20
12494,7,1246.1000000000001,63
12497,1,1043.1,14
12498,3,403.70000000000005,21
12500,11,4257.82,34
12501,1,2169.39,149
12502,5,3723.87,102
12504,2,482.04999999999995,6
12506,1,73.5,23
12507,3,1304.81,19
12508,2,397.88,57
12509,1,176.5,7
12510,2,982.5699999999999,29
12512,2,132.18,31
12513,1,612.29,35
12514,1,1017.68,51
12515,1,383.7,16
12516,2,1312.06,20
12517,5,2481.6,232
12518,5,2056.89,84
12519,1,330.84,17
12520,5,2634.26,121
12521,1,599.68,38
12522,2,192.72,11
12523,11,1789.77,84
12524,8,4485.72,113
12526,3,1316.66,64
12527,3,348.71000000000004,18
12528,6,1933.48,50
12530,4,1662.28,51
12531,1,125.22,17
12532,1,349.83000000000004,16
12534,1,1089.18,63
12535,2,716.35,28
12536,3,12601.830000000002,260
12538,1,363.95,21
12539,4,5568.35,157
12540,17,13400.24,277
12541,3,981.18,46
12544,1,372.7,19
12545,2,1000.39,42
12546,2,1161.5,59
12547,2,207.79999999999998,7
12548,1,95.19999999999999,5
12550,1,964.83,57
12551,1,168.0,10
12552,2,437.82,20
12553,10,3692.28,95
12556,2,599.56,100
12557,5,11990.960000000001,15
12558,1,269.96,11
12559,2,561.71,21
12560,3,2134.01,91
12561,1,238.85,16
12562,7,3781.7400000000002,99
12564,1,456.9,21
12565,1,145.92,9
12566,1,351.65,19
12567,10,9401.28,323
12569,32,4124.69,92
12571,2,519.61,31
12572,2,1020.42,53
12573,1,160.54000000000002,26
12574,1,218.45,11
12576,5,1315.83,72
12577,3,626.6,137
12578,2,2794.51,111
12579,1,440.42,29
12580,1,415.7,24
12581,1,197.71,15
12582,2,511.36,21
12583,15,7281.38,115
12584,9,2338.15,44
12585,2,2040.1,77
12586,1,196.94000000000003,11
12587,1,144.0,4
12588,1,214.89999999999998,10
12589,2,646.68,29
12590,2,9864.26,68
12591,1,452.84999999999997,26
12592,2,437.6,11
12593,3,418.09999999999997,14
12594,10,3338.2200000000003,50
12596,2,618.27,25
12597,4,3811.22,184
12598,8,3023.08,84
12599,7,1032.58,32
12600,10,2599.04,32
12601,5,577.0600000000001,21
12602,1,153.12,12
12603,1,739.1999999999999,2
12604,2,254.18,15
12607,1,1579.51,101
12609,3,1126.85,57
12610,5,2099.54,85
12611,1,1193.32,65
12612,1,704.0400000000001,19
12613,5,3344.38,124
12614,1,315.6,20
12615,4,2291.19,82
12616,2,713.3,25
12617,1,352.98,39
12618,1,177.31,11
12619,9,3641.24,50
12620,3,1339.41,89
12621,20,13689.67,261
12622,1,180.1,11
12623,1,305.1,18
12624,2,641.13,36
12625,2,2683.82,73
12626,9,6620.48,232
12627,7,4478.53,162
12628,3,786.46,34
12630,2,1270.88,60
12631,1,640.5,31
12633,4,2163.98,73
12635,2,1689.18,96
12637,8,6002.9,205
12638,1,671.69,39
12639,1,486.1,22
12640,3,1174.58,47
12641,1,185.9,10
12642,3,1013.26,39
12643,6,3344.64,11
12644,1,477.91,31
12645,4,1775.18,58
12646,2,1346.97,43
12647,12,3722.82,78
12648,1,318.05,21
12649,3,623.51,28
12650,1,314.44,20
12651,1,114.0,9
12652,1,919.98,48
12653,2,2209.85,37
12654,5,601.98,31
12656,5,4051.17,89
12657,4,1643.18,35
12658,1,686.05,36
12659,1,91.68,5
12660,1,245.1,13
12662,11,3849.78,129
12664,9,4881.88,10
12665,1,63.0,3
12667,1,620.13,33
12668,4,3807.15,115
12669,3,2744.0299999999997,98
12670,5,2996.05,58
12672,1,225.89999999999998,10
12673,2,610.52,42
12674,4,1970.6,52
12676,6,1331.39,33
12678,12,17628.46,105
12679,4,1113.02,43
12680,4,862.81,33
12681,22,13787.54,267
12682,31,12279.82,209
12683,15,8476.57,177
12684,7,2283.63,61
12685,6,2863.08,117
12686,1,89.14,7
12688,1,4873.8099999999995,171
12689,2,1247.61,57
12690,1,389.01,16
12691,6,1035.8,21
12693,4,855.91,35
12694,2,869.67,32
12695,4,582.1,23
12697,3,957.59,37
12700,4,4939.99,193
12701,2,797.71,50
12702,1,219.0,12
12703,1,283.55,21
12704,8,2340.84,64
12705,9,6868.29,228
12707,1,603.42,33
12708,10,2712.91,86
12709,15,9706.52,93
12710,3,1149.02,75
12712,13,4396.13,58
12713,1,848.55,38
12714,5,4708.86,216
12715,1,343.36,20
12716,2,1053.49,60
12717,2,1030.98,49
12718,1,238.25,19
12719,2,644.95,34
12720,25,5781.73,211
12721,6,2656.13,133
12722,4,997.63,50
12723,5,725.07,53
12724,4,1031.41,47
12725,1,427.8,24
12726,7,2609.1,57
12727,7,3980.7,109
12728,4,836.33,38
12729,1,453.01,26
12731,12,18895.91,109
12732,1,236.26000000000002,12
12733,1,383.95,22
12734,1,110.39999999999999,4
12735,2,779.5699999999999,38
12736,1,234.0,4
12738,1,155.35,11
12739,2,1013.04,38
12740,1,427.6,27
12743,2,540.13,114
12744,7,21279.29,178
12747,11,4196.01,42
12748,209,33053.19,1768
12749,5,4090.88,160
12750,1,275.88,15
12752,1,4366.78,53
12753,6,21429.39,132
12754,3,3010.74,49
12755,2,3811.95,4
