ds,y
2010-12-01,46192.49
2010-12-02,47197.57
2010-12-03,23876.63
2010-12-05,31361.28
2010-12-06,31009.33
2010-12-07,53730.96
2010-12-08,39094.2
2010-12-09,38193.91
2010-12-10,33488.38
2010-12-12,17102.35
2010-12-13,27578.34
2010-12-14,29235.13
2010-12-15,30251.47
2010-12-16,48791.87
2010-12-17,19966.36
2010-12-19,7292.95
2010-12-20,19599.06
2010-12-21,15929.16
2010-12-22,4886.52
2010-12-23,5644.77
2011-01-04,12105.11
2011-01-05,28799.43
2011-01-06,34343.79
2011-01-07,23797.79
2011-01-09,15590.68
2011-01-10,15330.83
2011-01-11,60243.73
2011-01-12,17124.74
2011-01-13,15159.460000000001
2011-01-14,39509.7
2011-01-16,6976.39
2011-01-17,16527.05
2011-01-18,87559.21
2011-01-19,21586.78
2011-01-20,15197.08
2011-01-21,24276.01
2011-01-23,10306.1
2011-01-24,17601.87
2011-01-25,23994.38
2011-01-26,17424.45
2011-01-27,22050.49
2011-01-28,17247.2
2011-01-30,6542.61
2011-01-31,18806.43
2011-02-01,26358.7
2011-02-02,17091.15
2011-02-03,22171.9
2011-02-04,18087.96
2011-02-06,3439.67
2011-02-07,23382.97
2011-02-08,14153.34
2011-02-09,11910.83
2011-02-10,14155.36
2011-02-11,18579.96
2011-02-13,5645.48
2011-02-14,22999.39
2011-02-15,37750.62
2011-02-16,23413.97
2011-02-17,17659.64
2011-02-18,14438.73
2011-02-20,9437.8
2011-02-21,32724.38
2011-02-22,29116.63
2011-02-23,19315.97
2011-02-24,21463.94
2011-02-25,18377.14
2011-02-27,9382.71
2011-02-28,15026.68
2011-03-01,23621.59
2011-03-02,18666.14
2011-03-03,32818.19
2011-03-04,17302.55
2011-03-06,9951.67
2011-03-07,20247.85
2011-03-08,22184.11
2011-03-09,20320.23
2011-03-10,24429.77
2011-03-11,20894.75
2011-03-13,4117.22
2011-03-14,25866.33
2011-03-15,14896.28
2011-03-16,21715.11
2011-03-17,31976.51
2011-03-18,23334.6
2011-03-20,19880.99
2011-03-21,16020.1
2011-03-22,19016.94
2011-03-23,21566.02
2011-03-24,36496.79
2011-03-25,27271.1
2011-03-27,9189.77
2011-03-28,19961.67
2011-03-29,37190.52
2011-03-30,29523.85
2011-03-31,25621.11
2011-04-01,24487.9
2011-04-03,6872.53
